序号,文件名称,文件编号,成文日期
18,国家发展改革委等14部门印发《关于促进服务业领域困难行业恢复发展的若干政策》的通知,发改财金〔2022〕271号,2022/2/18
19,财政部 税务总局关于发布第三批适用北京2022年冬奥会、冬残奥会和测试赛企业赞助增值税政策的企业名单的公告,财政部 税务总局公告2022年第9号,2022/2/18
20,财政部 税务总局关于杭州2022年亚运会和亚残运会企业赞助有关增值税政策的公告,财政部 税务总局公告2022年第1号,2022/1/20
21,财政部 税务总局关于完善资源综合利用增值税政策的公告,财政部 税务总局公告2021年第40号,2021/12/30
22,财政部 税务总局关于出口货物保险增值税政策的公告,财政部 税务总局公告2021年第37号,2021/12/22
23,财政部 税务总局关于调整铁路和航空运输企业汇总缴纳增值税分支机构名单的通知,财税〔2021〕51号,2021/9/5
24,国家税务总局关于增值税 消费税与附加税费申报表整合有关事项的公告,国家税务总局公告2021年第20号,2021/7/9
25,国家税务总局关于修订发布《研发机构采购国产设备增值税退税管理办法》的公告,国家税务总局公告2021年第18号,2021/6/22
26,国家税务总局关于发布《北京2022年冬奥会和冬残奥会及其测试赛增值税退税管理办法》的公告,国家税务总局公告2021年第13号,2021/5/27
27,国家税务总局关于明确先进制造业增值税期末留抵退税征管问题的公告,国家税务总局公告2021年第10号,2021/4/28
28,财政部 税务总局关于明确先进制造业增值税期末留抵退税政策的公告,财政部 税务总局公告2021年第15号,2021/4/23
29,国家税务总局关于国网冀北电力有限公司增值税预征有关问题的通知,税总函〔2021〕72号,2021/4/21
30,国家税务总局关于小规模纳税人免征增值税征管问题的公告,国家税务总局公告2021年第5号,2021/3/31
31,财政部 税务总局关于明确增值税小规模纳税人免征增值税政策的公告,财政部 税务总局公告2021年第11号,2021/3/31
32,国家税务总局关于进一步优化增值税优惠政策办理程序及服务有关事项的公告,国家税务总局公告2021年第4号,2021/3/29
33,财政部 税务总局关于延续宣传文化增值税优惠政策的公告,财政部 税务总局公告2021年第10号,2021/3/22
34,财政部 税务总局关于延续实施应对疫情部分税费优惠政策的公告,财政部 税务总局公告2021年第7号,2021/3/17
35,国家税务总局关于做好《机动车发票使用办法》实施工作的通知,税总函〔2021〕42号,2021/3/15
36,财政部 海关总署 税务总局关于海南自由贸易港自用生产设备“零关税”政策的通知,财关税〔2021〕7号,2021/2/24
37,国家档案局办公室等四部门关于进一步扩大增值税电子发票电子化报销、入账、归档试点工作的通知,档办发〔2021〕1号,2021/2/22
38,财政部 税务总局关于继续执行边销茶增值税政策的公告,财政部 税务总局公告2021年第4号,2021/2/19
39,国家税务总局关于在新办纳税人中实行增值税专用发票电子化有关事项的公告,国家税务总局公告2020年第22号,2020/12/20
40,国家税务总局关于发布《国际运输船舶增值税退税管理办法》的公告,国家税务总局公告2020年第18号,2020/12/2
41,财政部 税务总局关于发布第二批适用北京2022年冬奥会、冬残奥会和测试赛企业赞助增值税政策的企业名单的公告,财政部 税务总局公告2020年第42号,2020/11/14
42,财政部 国家税务总局关于铁路运输企业汇总缴纳增值税的通知,财税〔2020〕56号,2020/10/30
43,财政部 海关总署 税务总局关于在粤港澳大湾区实行有关增值税政策的通知,财税〔2020〕48 号,2020/10/26
44,财政部 海关总署 税务总局关于中国国际进口博览会展期内销售的进口展品税收优惠政策的通知,财关税〔2020〕38号,2020/10/12
45,财政部 海关总署 税务总局 药监局关于发布第二批适用增值税政策的抗癌药品和罕见病药品清单的公告,财政部 海关总署 税务总局 药监局公告2020年第39号,2020/9/30
46,国家税务总局关于发布《海南离岛免税店销售离岛免税商品免征增值税和消费税管理办法》的公告,国家税务总局公告2020年第16号,2020/9/29
47,财政部 税务总局关于明确无偿转让股票等增值税政策的公告,财政部 税务总局公告2020年第40号,2020/9/29
48,财政部 交通运输部 税务总局关于海南自由贸易港国际运输船舶有关增值税政策的通知,财税〔2020〕41号,2020/9/3
49,财政部 税务总局关于航空运输企业汇总缴纳增值税总分机构名单的通知,财税〔2020〕30号,2020/6/4
50,财政部 税务总局关于电影等行业税费支持政策的公告,财政部 税务总局公告2020年第25号,2020/5/13
51,财政部 税务总局关于延长小规模纳税人减免增值税政策执行期限的公告,财政部 税务总局公告2020年第24号,2020/4/30
52,国家发展改革委等部门关于稳定和扩大汽车消费若干措施的通知,发改产业〔2020〕684号,2020/4/28
53,国家税务总局关于明确二手车经销等若干增值税征管问题的公告,国家税务总局公告2020年第9号,2020/4/23
54,财政部 税务总局关于二手车经销有关增值税政策的公告,财政部 税务总局公告2020年第17号,2020/4/8
55,国家税务总局关于发布《研发机构采购国产设备增值税退税管理办法》的公告,国家税务总局公告2020年第6号,2020/3/11
56,交通运输部 国家税务总局关于收费公路通行费增值税电子普通发票开具等有关事项的公告,交通运输部公告2020年第17号,2020/3/10
57,国家税务总局关于延长税务机关公示纳税人享受部分增值税优惠政策信息工作时限的通知,税总函〔2020〕38号,2020/3/3
58,国家税务总局关于支持个体工商户复工复业等税收征收管理事项的公告,国家税务总局公告2020年第5号,2020/2/29
59,财政部 税务总局关于支持个体工商户复工复业增值税政策的公告,财政部 税务总局公告2020年第13号,2020/2/28
60,财政部 税务总局关于支持货物期货市场对外开放增值税政策的公告,财政部 税务总局公告2020年第12号,2020/2/18
61,财政部 税务总局关于明确国有农用地出租等增值税政策的公告,财政部 税务总局公告2020年第2号,2020/1/20
62,国家税务总局关于增值税发票综合服务平台等事项的公告,国家税务总局公告2020年第1号,2020/1/8
63,国家税务总局关于开展网络平台道路货物运输企业代开增值税专用发票试点工作的通知,税总函〔2019〕405号,2019/12/31
64,国家税务总局关于取消增值税扣税凭证认证确认期限等增值税征管问题的公告,国家税务总局公告2019年第45号,2019/12/31
65,财政部 税务总局 人民银行关于调整完善增值税留抵退税地方分担机制及预算管理有关事项的通知,财预〔2019〕205号,2019/12/6
66,国家税务总局关于异常增值税扣税凭证管理等有关事项的公告,国家税务总局公告2019年第38号,2019/11/22
67,财政部 商务部 税务总局关于继续执行研发机构采购设备增值税政策的公告,财政部公告2019年第91号,2019/11/11
68,财政部 税务总局关于资源综合利用增值税政策的公告,财政部 税务总局公告2019年第90号,2019/10/24
69,国家税务总局关于增值税发票管理等有关事项的公告,国家税务总局公告2019年第33号,2019/10/9
70,财政部 税务总局关于明确生活性服务业增值税加计抵减政策的公告,财政部 税务总局公告2019年第87号,2019/9/30
71,国家税务总局关于国内旅客运输服务进项税抵扣等增值税征管问题的公告,国家税务总局公告2019年第31号,2019/9/16
72,财政部 税务总局关于明确部分先进制造业增值税期末留抵退税政策的公告,财政部 税务总局公告2019年第84号,2019/8/31
73,财政部 税务总局关于继续执行边销茶增值税政策的公告,财政部 税务总局公告2019年第83号,2019/8/28
74,国家税务总局 财政部 海关总署关于在综合保税区推广增值税一般纳税人资格试点的公告,国家税务总局公告2019年第29号,2019/8/8
75,国家税务总局关于办理增值税期末留抵税额退税有关事项的公告,国家税务总局公告2019年第20号,2019/4/30
76,财政部 税务总局关于延续供热企业增值税 房产税 城镇土地使用税优惠政策的通知,财税〔2019〕38号,2019/4/3
77,国家税务总局关于做好2019年深化增值税改革第一阶段“开好票”相关工作的通知,税总函〔2019〕81号,2019/3/21
78,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2019年第15号,2019/3/21
79,国家税务总局关于深化增值税改革有关事项的公告,国家税务总局公告2019年第14号,2019/3/21
80,财政部 税务总局 海关总署关于深化增值税改革有关政策的公告,财政部 税务总局 海关总署公告2019年第39号,2019/3/20
81,国家税务总局关于稀土企业等汉字防伪项目企业开具增值税发票有关问题的公告,国家税务总局公告2019年第13号,2019/3/18
82,国家税务总局关于进一步做好纳税人增值税发票领用等工作的通知,税总函〔2019〕64号,2019/2/26
83,国家税务总局关于调整增值税专用发票防伪措施有关事项的公告,国家税务总局公告2019年第9号,2019/2/3
84,财政部 税务总局关于明确养老机构免征增值税等政策的通知,财税〔2019〕20号,2019/2/2
85,关于进一步扩大赋予海关特殊监管区域企业增值税一般纳税人资格试点的公告,国家税务总局公告2019年第6号,2019/1/31
86,国家税务总局关于小规模纳税人免征增值税政策有关征管问题的公告,国家税务总局公告2019年第4号,2019/1/19
87,国家税务总局关于增值税小规模纳税人地方税种和相关附加减征政策有关征管问题的公告,国家税务总局公告2019年第5号,2019/1/19
88,财政部 税务总局关于冬奥会和冬残奥会企业赞助有关增值税政策的通知,财税〔2019〕6号,2019/1/18
89,财政部 税务总局关于调整铁路和航空运输企业汇总缴纳增值税总分机构名单的通知,财税〔2019〕1号,2019/1/2
90,财政部 税务总局关于境外机构投资境内债券市场企业所得税 增值税政策的通知,财税〔2018〕108号,2018/11/7
91,财政部 税务总局 科技部 教育部关于科技企业孵化器 大学科技园和众创空间税收政策的通知,财税〔2018〕120号,2018/11/1
92,财政部 税务总局关于全国社会保障基金有关投资业务税收政策的通知,财税〔2018〕94号,2018/9/10
93,财政部 税务总局关于金融机构小微企业贷款利息收入免征增值税政策的通知,财税〔2018〕91号,2018/9/5
94,财政部 税务总局关于增值税期末留抵退税有关城市维护建设税 教育费附加和地方教育附加政策的通知,财税〔2018〕80号,2018/7/27
95,国家税务总局关于明确中外合作办学等若干增值税征管问题的公告,国家税务总局公告2018年第42号,2018/7/25
96,国家税务总局关于公布符合条件的销售熊猫普制金币纳税人名单（第十批）暨不符合条件的纳税人退出名单（第四批）的公告,国家税务总局公告2018年第34号,2018/6/22
97,国家税务总局关于新办纳税人首次申领增值税发票有关事项的公告,国家税务总局公告2018年第29号,2018/6/11
98,财政部 税务总局关于延续宣传文化增值税优惠政策的通知,财税〔2018〕53 号,2018/6/5
99,财政部 税务总局关于继续实施企业改制重组有关土地增值税政策的通知,财税〔2018〕57号,2018/5/16
100,国家税务总局 海关总署关于进口租赁飞机有关增值税问题的公告,国家税务总局公告2018年第24号,2018/5/11
101,国家税务总局关于大连商品交易所铁矿石期货保税交割业务增值税管理问题的公告,国家税务总局公告2018年第19号,2018/4/20
102,国家税务总局关于统一小规模纳税人标准等若干增值税问题的公告,国家税务总局公告2018年第18号,2018/4/20
103,财政部 税务总局关于延续动漫产业增值税政策的通知,财税〔2018〕38号,2018/4/19
104,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2018年第17号,2018/4/19
105,财政部 税务总局关于统一增值税小规模纳税人标准的通知,财税〔2018〕33号,2018/4/4
106,财政部 税务总局关于调整增值税税率的通知,财税〔2018〕32号,2018/4/4
107,国家税务总局关于《增值税纳税申报比对管理操作规程（试行）》执行有关事项的通知,税总函〔2018〕94号,2018/2/27
108,国家税务总局关于增值税一般纳税人登记管理若干事项的公告,国家税务总局公告2018年第6号,2018/1/29
109,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2017年第53号,2017/12/29
110,国家税务总局关于发布《货物运输业小规模纳税人申请代开增值税专用发票管理办法》的公告,国家税务总局公告2017年第55号,2017/12/29
111,国家税务总局关于开展互联网物流平台企业代开增值税专用发票试点工作的通知,税总函〔2017〕579号,2017/12/29
112,增值税一般纳税人登记管理办法,国家税务总局令第43号,2017/12/29
113,国家税务总局关于小微企业免征增值税有关问题的公告,国家税务总局公告2017年第52号,2017/12/27
114,国家税务总局关于水资源费改税后城镇公共供水企业增值税发票开具问题的公告,国家税务总局公告2017年第47号,2017/12/25
115,交通运输部 国家税务总局关于收费公路通行费增值税电子普通发票开具等有关事项的公告,交通运输部公告2017年第66号,2017/12/25
116,财政部 税务总局关于租入固定资产进项税额抵扣等增值税政策的通知,财税〔2017〕90号,2017/12/25
117,国家税务总局关于增值税发票管理若干事项的公告,国家税务总局公告2017年第45号,2017/12/18
118,国家税务总局关于增值税普通发票管理有关事项的公告,国家税务总局公告2017年第44号,2017/12/5
119,国家税务总局关于简化建筑服务增值税简易计税方法备案事项的公告,国家税务总局公告2017年第43号,2017/11/26
120,国家税务总局 外交部关于外国驻华使（领）馆及其馆员在华购买货物和服务增值税退税管理有关问题的公告,国家税务总局公告2017年第39号,2017/10/31
121,国家税务总局关于印发《增值税纳税申报比对管理操作规程（试行）》的通知,税总发〔2017〕124号,2017/10/30
122,财政部 税务总局关于外国驻华使(领)馆及其馆员在华购买货物和服务增值税退税政策有关问题的补充通知,财税〔2017〕74号,2017/9/29
123,财政部 国家税务总局关于调整铁路和航空运输企业汇总缴纳增值税分支机构名单的通知,财税〔2017〕67号,2017/8/22
124,国家税务总局关于跨境应税行为免税备案等增值税问题的公告,国家税务总局公告2017年第30号,2017/8/14
125,国家税务总局关于上海国际能源交易中心原油期货保税交割业务增值税管理问题的公告,国家税务总局公告2017年第29号,2017/7/28
126,财政部 税务总局关于资管产品增值税有关问题的通知,财税〔2017〕56号,2017/6/30
127,国家税务总局关于做好增值税电子普通发票推行所需税控设备管理工作的通知,税总函〔2017〕232号,2017/6/21
128,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2017年第19号,2017/5/23
129,国家税务总局关于增值税发票开具有关问题的公告,国家税务总局公告2017年第16号,2017/5/19
130,财政部 税务总局关于继续执行新疆国际大巴扎项目增值税政策的通知,财税〔2017〕36号,2017/4/28
131,财政部 税务总局关于简并增值税税率有关政策的通知,财税〔2017〕37号,2017/4/28
132,财政部 税务总局关于继续执行有线电视收视费增值税政策的通知,财税〔2017〕35号,2017/4/28
133,国家税务总局关于进一步明确营改增有关征管问题的公告,国家税务总局公告2017年第11号,2017/4/20
134,国家税务总局关于使用印有本单位名称的增值税普通发票（卷票）有关问题的公告,国家税务总局公告2017年第9号,2017/4/14
135,国家税务总局关于进一步做好增值税电子普通发票推行工作的指导意见,税总发〔2017〕31号,2017/3/21
136,国家税务总局关于发布《研发机构采购国产设备增值税退税管理办法》的公告,国家税务总局公告2017年第5号,2017/3/14
137,财政部 税务总局关于集成电路企业增值税期末留抵退税有关城市维护建设税 教育费附加和地方教育附加政策的通知,财税〔2017〕17号,2017/2/24
138,国家税务总局关于开展鉴证咨询业增值税小规模纳税人自开增值税专用发票试点工作有关事项的公告,国家税务总局公告2017年第4号,2017/2/22
139,国家税务总局关于加强海关进口增值税抵扣管理的公告,国家税务总局公告2017年第3号,2017/2/13
140,财政部 国家税务总局关于资管产品增值税政策有关问题的补充通知,财税〔2017〕2号,2017/1/10
141,国家税务总局关于土地价款扣除时间等增值税征管问题的公告,国家税务总局公告2016年第86号,2016/12/24
142,国家税务总局关于启用全国增值税发票查验平台的公告,国家税务总局公告2016年第87号,2016/12/23
143,财政部 国家税务总局关于明确金融 房地产开发 教育辅助服务等增值税政策的通知,财税〔2016〕140号,2016/12/21
144,财政部 国家税务总局关于大型客机和新支线飞机增值税政策的通知,财税〔2016〕141号,2016/12/15
145,国家税务总局关于房地产开发企业土地增值税清算涉及企业所得税退税有关问题的公告,国家税务总局公告2016年第81号,2016/12/9
146,国家税务总局关于走逃（失联）企业开具增值税专用发票认定处理有关问题的公告,国家税务总局公告2016年第76号,2016/12/1
147,国家税务总局关于调整增值税一般纳税人留抵税额申报口径的公告,国家税务总局公告2016年第75号,2016/12/1
148,国家税务总局关于纳税人转让不动产缴纳增值税差额扣除有关问题的公告,国家税务总局公告2016年第73号,2016/11/24
149,财政部 国家税务总局 证监会关于深港股票市场交易互联互通机制试点有关税收政策的通知,财税〔2016〕127号,2016/11/5
150,国家税务总局 财政部 海关总署关于开展赋予海关特殊监管区域企业增值税一般纳税人资格试点的公告,国家税务总局公告2016年第65号,2016/10/14
151,国家税务总局关于开展增值税发票使用管理情况专项检查的通知,税总函〔2016〕455号,2016/9/6
152,财政部 国家税务总局关于国家大学科技园税收政策的通知,财税〔2016〕98号,2016/9/5
153,财政部 国家税务总局关于延续免征国产抗艾滋病病毒药品增值税政策的通知,财税〔2016〕97号,2016/9/1
154,国家税务总局 外交部关于发布《外国驻华使（领）馆及其馆员在华购买货物和服务增值税退税管理办法》的公告,国家税务总局公告2016年第58号,2016/8/31
155,国家税务总局关于纳税人申请代开增值税发票办理流程的公告,国家税务总局公告2016年第59号,2016/8/31
156,国家税务总局关于优化完善增值税发票选择确认平台功能及系统维护有关事项的公告,国家税务总局公告2016年第57号,2016/8/29
157,财政部 国家税务总局关于供热企业增值税 房产税 城镇土地使用税优惠政策的通知,财税〔2016〕94号,2016/8/24
158,国家税务总局关于物业管理服务中收取的自来水水费增值税问题的公告,国家税务总局公告2016年第54号,2016/8/19
159,国家税务总局关于营改增试点若干征管问题的公告,国家税务总局公告2016年第53号,2016/8/18
160,财政部 国家税务总局关于科技企业孵化器税收政策的通知,财税〔2016〕89号,2016/8/11
161,财政部 国家税务总局关于收费公路通行费增值税抵扣有关问题的通知,财税〔2016〕86号,2016/8/3
162,国家税务总局关于被盗、丢失增值税专用发票有关问题的公告,国家税务总局公告2016年第50号,2016/7/28
163,财政部 国家税务总局关于延长边销茶增值税政策执行期限的通知,财税〔2016〕73号,2016/7/25
164,财政部 国家税务总局关于部分营业税和增值税政策到期延续问题的通知,财税〔2016〕83号,2016/7/25
165,财政部 国家税务总局关于继续执行高校学生公寓和食堂有关税收政策的通知,财税〔2016〕82号,2016/7/25
166,财政部 国家税务总局关于继续执行光伏发电增值税政策的通知,财税〔2016〕81号,2016/7/25
167,国家税务总局关于红字增值税发票开具有关问题的公告,国家税务总局公告2016年第47号,2016/7/20
168,国家税务总局关于加强增值税税控系统管理有关问题的通知,税总函〔2016〕368号,2016/7/19
169,国家税务总局关于部分地区开展住宿业增值税小规模纳税人自开增值税专用发票试点工作有关事项的公告,国家税务总局公告2016年第44号,2016/7/6
170,财政部 国家税务总局关于金融机构同业往来等增值税政策的补充通知,财税〔2016〕70号,2016/6/30
171,国家税务总局关于全面推进营改增试点分析工作优化纳税服务的通知,税总发〔2016〕95号,2016/6/20
172,财政部 国家税务总局关于进一步明确全面推开营改增试点有关再保险 不动产租赁和非学历教育等政策的通知,财税〔2016〕68号,2016/6/18
173,国家税务总局关于发布《促进残疾人就业增值税优惠政策管理办法》的公告,国家税务总局公告2016年第33号,2016/5/27
174,国家税务总局关于优化完善增值税发票查询平台功能有关事项的公告,国家税务总局公告2016年第32号,2016/5/27
175,财政部 国家税务总局关于营业税改征增值税试点有关文化事业建设费政策及征收管理问题的补充通知,财税〔2016〕60号,2016/5/13
176,国家税务总局关于营业税改征增值税部分试点纳税人增值税纳税申报有关事项调整的公告,国家税务总局公告2016年第30号,2016/5/10
177,国家税务总局关于发布《营业税改征增值税跨境应税行为增值税免税管理办法（试行）》的公告,国家税务总局公告2016年第29号,2016/5/6
178,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2016年第27号,2016/5/5
179,财政部 国家税务总局关于促进残疾人就业增值税优惠政策的通知,财税〔2016〕52号,2016/5/5
180,国家税务总局关于纳税人销售其取得的不动产办理产权过户手续使用的增值税发票联次问题的通知,税总函〔2016〕190号,2016/5/2
181,财政部 国家税务总局关于进一步明确全面推开营改增试点有关劳务派遣服务、收费公路通行费抵扣等政策的通知,财税〔2016〕47号,2016/4/30
182,国家税务总局关于迅速学习贯彻《国务院关于做好全面推开营改增试点工作的通知》的紧急通知,税总发〔2016〕60号,2016/4/30
183,国务院关于印发全面推开营改增试点后调整中央与地方增值税收入划分过渡方案的通知,国发〔2016〕26号,2016/4/29
184,财政部 国家税务总局关于进一步明确全面推开营改增试点金融业有关政策的通知,财税〔2016〕46号,2016/4/29
185,财政部 国家税务总局关于外国驻华使（领）馆及其馆员在华购买货物和服务增值税退税政策的通知,财税〔2016〕51号,2016/4/29
186,国务院关于做好全面推开营改增试点工作的通知,国发明电〔2016〕1号,2016/4/29
187,国家税务总局关于发布出口退税率文库2016B版的通知,税总函〔2016〕187号,2016/4/28
188,国家税务总局关于发布增值税发票税控开票软件数据接口规范的公告,国家税务总局公告2016年第25号,2016/4/25
189,国家税务总局关于进一步做好营改增税控装置安装服务和监督管理工作有关问题的通知,税总函〔2016〕170号,2016/4/19
190,国家税务总局关于全面推开营业税改征增值税试点有关税收征收管理事项的公告,国家税务总局公告2016年第23号,2016/4/19
191,国家税务总局关于发布《纳税人提供不动产经营租赁服务增值税征收管理暂行办法》的公告,国家税务总局公告2016年第16号,2016/3/31
192,国家税务总局关于发布《房地产开发企业销售自行开发的房地产项目增值税征收管理暂行办法》的公告,国家税务总局公告2016年第18号,2016/3/31
193,国家税务总局关于发布《纳税人跨县（市、区）提供建筑服务增值税征收管理暂行办法》的公告,国家税务总局公告2016年第17号,2016/3/31
194,国家税务总局关于全面推开营业税改征增值税试点后增值税纳税申报有关事项的公告,国家税务总局公告2016年第13号,2016/3/31
195,国家税务总局关于营业税改征增值税委托地税局代征税款和代开增值税发票的通知,税总函〔2016〕145号,2016/3/31
196,国家税务总局关于发布《纳税人转让不动产增值税征收管理暂行办法》的公告,国家税务总局公告2016年第14号,2016/3/31
197,国家税务总局关于营业税改征增值税委托地税机关代征税款和代开增值税发票的公告,国家税务总局公告2016年第19号,2016/3/31
198,财政部 国家税务总局 关于营业税改征增值税试点有关文化事业建设费政策及征收管理问题的通知,财税〔2016〕25号,2016/3/28
199,财政部 国家税务总局关于全面推开营业税改征增值税试点的通知,财税〔2016〕36号,2016/3/23
200,国家税务总局关于纳税信用A级纳税人取消增值税发票认证有关问题的公告,国家税务总局公告2016年第7号,2016/2/4
201,国家税务总局关于兽用药品经营企业销售兽用生物制品有关增值税问题的公告,国家税务总局公告2016年第8号,2016/2/4
202,国家税务总局关于停止使用货物运输业增值税专用发票有关问题的公告,国家税务总局公告2015年第99号,2015/12/31
203,国家税务总局关于营业税改征增值税试点期间有关增值税问题的公告,国家税务总局公告2015年第90号,2015/12/22
204,国家税务总局关于《适用增值税零税率应税服务退（免）税管理办法》的补充公告,国家税务总局公告2015年第88号,2015/12/14
205,国家税务总局关于发布增值税发票系统升级版与税控收款机数据接口规范的公告,国家税务总局公告2015年第77号,2015/11/11
206,财政部 国家税务总局关于煤炭采掘企业增值税进项税额抵扣有关事项的通知,财税〔2015〕117号,2015/11/2
207,国家税务总局关于动物尸体降解处理机 蔬菜清洗机增值税适用税率问题的公告,国家税务总局公告2015年第72号,2015/10/15
208,国家税务总局关于化肥恢复征收增值税后库存化肥有关税收管理事项的公告,国家税务总局公告2015年第64号,2015/9/15
209,财政部 国家税务总局关于对化肥恢复征收增值税政策的补充通知,财税〔2015〕97号,2015/8/28
210,财政部 国家税务总局关于继续执行小微企业增值税和营业税政策的通知,财税〔2015〕96号,2015/8/27
211,财政部 海关总署 国家税务总局关于对化肥恢复征收增值税政策的通知,财税〔2015〕90号,2015/8/10
212,财政部 国家税务总局关于调整铁路和航空运输企业汇总缴纳增值税分支机构名单的通知,财税〔2015〕87号,2015/8/10
213,国家税务总局关于发布增值税发票系统升级版与电子发票系统数据接口规范的公告,国家税务总局公告2015年第53号,2015/7/20
214,财政部 国家税务总局关于风力发电增值税政策的通知,财税〔2015〕74号,2015/6/12
215,国家税务总局关于中国石油天然气股份有限公司2014年进口天然气增值税返还收入企业所得税纳税地点问题的批复,税总函〔2015〕292号,2015/6/1
216,国家税务总局关于国网冀北电力有限公司增值税有关问题的批复,税总函〔2015〕283号,2015/5/26
217,国家税务总局关于国有粮食购销企业销售粮食免征增值税审批事项取消后有关管理事项的公告,国家税务总局公告2015年第42号,2015/5/22
218,国家税务总局关于明确部分增值税优惠政策审批事项取消后有关管理事项的公告,国家税务总局公告2015年第38号,2015/5/19
219,国家税务总局关于发布增值税发票系统升级版开票软件数据接口规范的公告,国家税务总局公告2015年第36号,2015/5/15
220,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2015年第23号,2015/4/20
221,国家税务总局关于再次明确不得将不达增值税起征点的小规模纳税人纳入增值税发票系统升级版推行范围的通知,税总函〔2015〕199号,2015/4/14
222,财政部 国家税务总局关于原油和铁矿石期货保税交割业务增值税政策的通知,财税〔2015〕35号,2015/4/8
223,国家税务总局关于调整增值税一般纳税人管理有关事项的公告,国家税务总局公告2015年第18号,2015/3/30
224,国家税务总局关于全面推行增值税发票系统升级版工作有关问题的通知,税总发〔2015〕42号,2015/3/30
225,国家税务总局关于全面推行增值税发票系统升级版有关问题的公告,国家税务总局公告2015年第19号,2015/3/30
226,国家税务总局关于增值税规范性文件有效性问题的批复,税总函〔2015〕161号,2015/3/20
227,财政部 国家税务总局关于企业改制重组有关土地增值税政策的通知,财税〔2015〕5号,2015/2/2
228,财政部 国家税务总局关于创新药后续免费使用有关增值税政策的通知,财税〔2015〕4号,2015/1/26
229,财政部 国家税务总局关于进入中哈霍尔果斯国际边境合作中心的货物适用增值税退（免）税政策的通知,财税〔2015〕17号,2015/1/21
230,国家税务总局关于牡丹籽油增值税适用税率问题的公告,国家税务总局公告〔2014〕75号,2014/12/31
231,国家税务总局关于推行增值税发票系统升级版有关问题的公告,国家税务总局公告2014年第73号,2014/12/29
232,国家税务总局关于推行增值税发票系统升级版工作有关问题的通知,税总发〔2014〕156号,2014/12/29
233,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2014年第69号,2014/12/15
234,财政部 国家税务总局关于华夏航空有限公司及其分支机构增值税计算缴纳问题的通知,财税〔2014〕76号,2014/10/17
235,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2014年第58号,2014/10/13
236,国家税务总局关于小微企业免征增值税和营业税有关问题的公告,国家税务总局公告2014年第57号,2014/10/11
237,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2014年第45号,2014/7/25
238,国家税务总局关于启用新版增值税发票有关问题的公告,国家税务总局公告2014年第43号,2014/7/8
239,国家税务总局关于国际货物运输代理服务有关增值税问题的公告,国家税务总局公告2014年第42号,2014/7/4
240,国家税务总局关于纳税人对外开具增值税专用发票有关问题的公告,国家税务总局公告2014年第39号,2014/7/2
