序号,文件名称,文件编号,成文日期
25,财政部 税务总局关于公益慈善事业捐赠个人所得税政策的公告,财政部 税务总局公告2019年第99号,2019/12/30
26,财政部 税务总局关于远洋船员个人所得税政策的公告,财政部 税务总局公告2019年第97号,2019/12/29
27,财政部 税务总局关于个人所得税综合所得汇算清缴涉及有关政策问题的公告,财政部 税务总局公告2019年第94号,2019/12/7
28,财政部 税务总局 证监会关于继续执行沪港、深港股票市场交易互联互通机制和内地与香港基金互认有关个人所得税政策的公告,财政部公告2019年第93号,2019/12/4
29,国家发展改革委办公厅 国家税务总局办公厅关于加强个人所得税纳税信用建设的通知,发改办财金规〔2019〕860号,2019/8/20
30,财政部 税务总局关于个人取得有关收入适用个人所得税应税所得项目的公告,财政部 税务总局公告2019年第74号,2019/6/13
31,财政部 税务总局关于粤港澳大湾区个人所得税优惠政策的通知,财税〔2019〕31号,2019/3/14
32,财政部 税务总局关于非居民个人和无住所居民个人有关个人所得税政策的公告,财政部 税务总局公告2019年第35号,2019/3/14
33,国家税务总局关于修订个人所得税申报表的公告,国家税务总局公告2019年第7号,2019/1/31
34,国家税务总局关于发挥涉税专业服务作用 助力个人所得税改革有关事项的通知,税总函〔2018〕687号,2018/12/29
35,财政部 税务总局关于个人所得税法修改后有关优惠政策衔接问题的通知,财税〔2018〕164号,2018/12/27
36,国家税务总局关于发布《个人所得税专项附加扣除操作办法（试行）》的公告,国家税务总局公告2018年第60号,2018/12/21
37,国家税务总局关于发布《个人所得税扣缴申报管理办法（试行）》的公告,国家税务总局公告2018年第61号,2018/12/21
38,国家税务总局关于个人所得税自行纳税申报有关问题的公告,国家税务总局公告2018年第62号,2018/12/21
39,国家税务总局关于全面实施新个人所得税法若干征管衔接问题的公告,国家税务总局公告2018年第56号,2018/12/19
40,中华人民共和国个人所得税法实施条例,国令第707号,2018/12/18
41,财政部 税务总局 证监会关于继续执行内地与香港基金互认有关个人所得税政策的通知,财税〔2018〕154号,2018/12/17
42,国务院关于印发个人所得税专项附加扣除暂行办法的通知,国发〔2018〕41号,2018/12/13
43,国家税务总局关于将个人所得税《税收完税证明》（文书式）调整为《纳税记录》有关事项的公告,国家税务总局公告2018年第55号,2018/12/5
44,财政部 税务总局 证监会关于个人转让全国中小企业股份转让系统挂牌公司股票有关个人所得税政策的通知,财税〔2018〕137号,2018/11/30
45,国家税务总局关于做好个人所得税改革过渡期政策贯彻落实的通知,税总函〔2018〕484号,2018/9/7
46,财政部 税务总局关于2018年第四季度个人所得税减除费用和税率适用问题的通知,财税〔2018〕98号,2018/9/7
47,中华人民共和国个人所得税法,,2018/8/31
48,国家税务总局关于创业投资企业和天使投资个人税收政策有关问题的公告,国家税务总局公告2018年第43号,2018/7/30
49,国家税务总局关于科技人员取得职务科技成果转化现金奖励有关个人所得税征管问题的公告,国家税务总局公告2018年第30号,2018/6/11
50,财政部 税务总局 科技部关于科技人员取得职务科技成果转化现金奖励有关个人所得税政策的通知,财税〔2018〕58号,2018/5/29
51,财政部 税务总局 证监会关于继续执行沪港股票市场交易互联互通机制有关个人所得税政策的通知,财税〔2017〕78号,2017/11/1
52,国家税务总局关于推广实施商业健康保险个人所得税政策有关征管问题的公告,国家税务总局公告2017年第17号,2017/5/19
53,财政部 税务总局 保监会关于将商业健康保险个人所得税试点政策推广到全国范围实施的通知,财税〔2017〕39号,2017/4/28
54,财政部 国家税务总局关于营改增后契税 房产税 土地增值税 个人所得税计税依据问题的通知,财税〔2016〕43号,2016/4/25
55,国家税务总局关于3项个人所得税事项取消审批实施后续管理的公告,国家税务总局公告2016年第5号,2016/1/28
56,国家税务总局关于实施商业健康保险个人所得税政策试点有关征管问题的公告,国家税务总局公告2015年第93号,2015/12/25
57,财政部 国家税务总局 保监会关于实施商业健康保险个人所得税政策试点的通知,财税〔2015〕126号,2015/11/27
58,国家税务总局关于股权奖励和转增股本个人所得税征管问题的公告,国家税务总局公告2015年第80号,2015/11/16
59,国家税务总局关于进一步简化和规范个人无偿赠与或受赠不动产免征营业税、个人所得税所需证明资料的公告,国家税务总局公告2015年第75号,2015/11/10
60,财政部 国家税务总局 证监会关于上市公司股息红利差别化个人所得税政策有关问题的通知,财税〔2015〕101号,2015/9/7
61,国家税务总局关于建筑安装业跨省异地工程作业人员个人所得税征收管理问题的公告,国家税务总局公告2015年第52号,2015/7/20
62,财政部 国家税务总局 保监会关于开展商业健康保险个人所得税政策试点工作的通知,财税〔2015〕56号,2015/5/8
63,国家税务总局关于发布生产经营所得及减免税事项有关个人所得税申报表的公告,国家税务总局公告2015年第28号,2015/4/30
64,国家税务总局关于做好非货币性资产投资个人所得税政策贯彻落实工作的通知,税总函〔2015〕195号,2015/4/8
65,国家税务总局关于个人非货币性资产投资有关个人所得税征管问题的公告,国家税务总局公告2015年第20号,2015/4/8
66,财政部 国家税务总局关于个人非货币性资产投资有关个人所得税政策的通知,财税〔2015〕41号,2015/3/30
67,国家税务总局个体工商户个人所得税计税办法,国家税务总局令第35号,2014/12/27
68,国家税务总局关于发布《股权转让所得个人所得税管理办法（试行）》的公告,国家税务总局公告2014年第67号,2014/12/7
69,财政部　国家税务总局　证监会关于实施全国中小企业股份转让系统挂牌公司股息红利差别化个人所得税政策有关问题的通知,财税〔2014〕48号,2014/6/27
70,财政部 国家税务总局 民政部关于调整完善扶持自主就业退役士兵创业就业有关税收政策的通知,财税〔2014〕42号,2014/4/29
71,国家税务总局关于个体工商户、个人独资企业和合伙企业个人所得税问题的公告,国家税务总局公告2014年第25号,2014/4/23
72,国家税务总局关于委托投资情况下认定受益所有人问题的公告,国家税务总局公告2014年第24号,2014/4/21
73,国家税务总局关于房屋买受人按照约定退房取得的补偿款有关个人所得税问题的批复,税总函〔2013〕748号,2013/12/30
74,国家税务总局关于做好企业年金职业年金个人所得税征收管理工作的通知,税总发〔2013〕143号,2013/12/27
75,财政部 人力资源社会保障部 国家税务总局关于企业年金 职业年金个人所得税有关问题的通知,财税〔2013〕103号,2013/12/6
76,财政部 国家税务总局关于棚户区改造有关税收政策的通知,财税〔2013〕101号,2013/12/2
77,财政部 海关总署 国家税务总局关于支持芦山地震灾后恢复重建有关税收政策问题的通知,财税〔2013〕58号,2013/9/30
78,国家税务总局关于个人投资者收购企业股权后将原盈余积累转增股本个人所得税问题的公告,国家税务总局公告2013年第23号,2013/5/7
79,国家税务总局关于发布个人所得税申报表的公告,国家税务总局公告2013年第21号,2013/4/27
80,财政部 国家税务总局关于地方政府债券利息免征所得税问题的通知,财税〔2013〕5号,2013/2/6
81,国家税务总局关于杜邦中国集团有限公司以前年度补充养老金计算缴纳个人所得税问题的批复,税总函〔2013〕23号,2013/1/14
82,国家税务总局关于律师事务所从业人员有关个人所得税问题的公告,国家税务总局公告2012年第53号,2012/12/7
83,财政部 国家税务总局 证监会关于实施上市公司股息红利差别化个人所得税政策有关问题的通知,财税〔2012〕85号,2012/11/16
84,国家税务总局关于证券经纪人佣金收入征收个人所得税问题的公告,国家税务总局公告2012年第45号,2012/9/12
85,国家税务总局关于明天小小科学家奖金免征个人所得税问题的公告,国家税务总局公告2012年第28号,2012/6/28
86,财政部 国家税务总局关于工伤职工取得的工伤保险待遇有关个人所得税政策的通知,财税〔2012〕40号,2012/5/3
87,国家税务总局关于执行内地与港澳间税收安排涉及个人受雇所得有关问题的公告,国家税务总局公告2012年第16号,2012/4/26
88,国家税务总局关于第五届黄汲清青年地质科学技术奖奖金免征个人所得税问题的公告,国家税务总局公告2012年第4号,2012/1/31
89,财政部 国家税务总局关于证券机构技术和制度准备完成后个人转让上市公司限售股有关个人所得税问题的通知,财税〔2011〕108号,2011/12/30
90,国家税务总局关于2011年度李四光地质科学奖奖金免征个人所得税的公告,国家税务总局公告2011年第68号,2011/12/6
91,财政部 国家税务总局关于地方政府债券利息所得免征所得税问题的通知,财税〔2011〕76号,2011/8/26
92,国家税务总局关于贯彻执行修改后的个人所得税法有关问题的公告,国家税务总局公告2011年第46号,2011/7/29
93,财政部 国家税务总局关于调整个体工商户业主 个人独资企业和合伙企业自然人投资者个人所得税费用扣除标准的通知,财税〔2011〕62号,2011/7/29
94,国家税务总局关于代开货物运输业发票个人所得税预征率问题的公告,国家税务总局公告2011年第44号,2011/7/27
95,国家税务总局关于个人终止投资经营收回款项征收个人所得税问题的公告,国家税务总局公告2011年第41号,2011/7/25
96,中华人民共和国个人所得税法实施条例,国务院令第600号,2011/7/19
97,国家税务总局关于明天小小科学家奖金免征个人所得税问题的通知,国税函〔2011〕337号,2011/6/24
98,财政部 国家税务总局关于企业促销展业赠送礼品有关个人所得税问题的通知,财税〔2011〕50号,2011/6/9
99,国家税务总局关于雇主为雇员承担全年一次性奖金部分税款有关个人所得税计算方法问题的公告,国家税务总局公告2011年第28号,2011/4/28
100,国家税务总局关于个人所得税有关问题的公告,国家税务总局公告2011年第27号,2011/4/18
101,国家税务总局关于切实加强高收入者个人所得税征管的通知,国税发〔2011〕50号,2011/4/15
102,国家税务总局关于企业年金个人所得税有关问题补充规定的公告,国家税务总局公告2011年第9号,2011/1/30
103,财政部 海关总署 国家税务总局关于第三届亚洲沙滩运动会税收政策的通知,财税〔2011〕11号,2011/1/19
104,国家税务总局关于个人提前退休取得补贴收入个人所得税问题的公告,国家税务总局公告2011年第6号,2011/1/17
105,国家税务总局关于全国职工优秀技术创新成果奖奖金免征个人所得税的通知,国税函〔2011〕10号,2011/1/5
106,财政部 海关总署 国家税务总局关于支持舟曲灾后恢复重建有关税收政策问题的通知,财税〔2010〕107号,2010/12/29
107,国家税务总局关于《中华人民共和国政府和芬兰共和国政府对所得避免双重征税和防止偷漏税的协定》及议定书生效执行的公告,国家税务总局公告2010年第22号,2010/11/29
108,国家税务总局关于明天小小科学家奖金免征个人所得税问题的通知,国税函〔2010〕538号,2010/11/10
109,财政部 国家税务总局 证监会关于个人转让上市公司限售股所得征收个人所得税有关问题的补充通知,财税〔2010〕70号,2010/11/10
110,财政部 国家税务总局关于个人独资企业和合伙企业投资者取得种植业 养殖业饲养业 捕捞业所得有关个人所得税问题的批复,财税〔2010〕96号,2010/11/2
111,财政部 国家税务总局关于支持和促进就业有关税收政策的通知,财税〔2010〕84号,2010/10/22
112,财政部 国家税务总局 住房和城乡建设部关于调整房地产交易环节契税 个人所得税优惠政策的通知,财税〔2010〕94号,2010/9/29
113,国家税务总局关于印发《〈中华人民共和国政府和新加坡共和国政府关于对所得避免双重征税和防止偷漏税的协定〉及议定书条文解释》的通知,国税发〔2010〕75号,2010/7/26
114,国家税务总局关于进一步做好个人所得税完税凭证开具工作的通知,国税发〔2010〕63号,2010/6/28
115,国家税务总局关于进一步加强高收入者个人所得税征收管理的通知,国税发〔2010〕54号,2010/5/31
116,国家税务总局关于中华宝钢环境优秀奖奖金免征个人所得税问题的通知,国税函〔2010〕130号,2010/4/6
117,国家税务总局关于农村信用社省级联合社收取服务费有关企业所得税税务处理问题的通知,国税函〔2010〕80号,2010/2/22
118,国家税务总局关于全国职工职业技能大赛奖金免征个人所得税的通知,国税函〔2010〕78号,2010/2/21
119,国家税务总局关于限售股转让所得个人所得税征缴有关问题的通知,国税函〔2010〕23号,2010/1/18
120,国家税务总局关于做好限售股转让所得个人所得税征收管理工作的通知,国税发〔2010〕8号,2010/1/15
121,财政部 国家税务总局 证监会关于个人转让上市公司限售股所得征收个人所得税有关问题的通知,财税〔2009〕167号,2009/12/31
122,国家税务总局关于企业年金个人所得税征收管理有关问题的通知,国税函〔2009〕694号,2009/12/10
123,国家税务总局关于个人转租房屋取得收入征收个人所得税问题的通知,国税函〔2009〕639号,2009/11/18
124,国家税务总局关于股权激励有关个人所得税问题的通知,国税函〔2009〕461号,2009/8/24
125,国家税务总局关于明确个人所得税若干政策执行问题的通知,国税发〔2009〕121号,2009/8/17
126,财政部 海关总署 国家税务总局关于第16届亚洲运动会等三项国际综合运动会税收政策的通知,财税〔2009〕94号,2009/8/10
127,国家税务总局关于加强股权转让所得征收个人所得税管理的通知,国税函〔2009〕285号,2009/5/28
128,财政部 国家税务总局关于个人无偿受赠房屋有关个人所得税问题的通知,财税〔2009〕78号,2009/5/25
129,国家税务总局关于加强个人工资薪金所得与企业的工资费用支出比对问题的通知,国税函〔2009〕259号,2009/5/15
130,财政部 国家税务总局关于上市公司高管人员股票期权所得缴纳个人所得税有关问题的通知,财税〔2009〕40号,2009/5/4
131,财政部 国家税务总局关于股票增值权所得和限制性股票所得征收个人所得税有关问题的通知,财税〔2009〕5号,2009/1/7
132,财政部 国家税务总局关于合伙企业合伙人所得税问题的通知,财税〔2008〕159号,2008/12/23
133,国家税务总局关于做好证券市场个人投资者证券交易结算资金利息所得免征个人所得税工作的通知,国税函〔2008〕870号,2008/10/30
134,财政部 国家税务总局关于证券市场个人投资者证券交易结算资金利息所得有关个人所得税政策的通知,财税〔2008〕140号,2008/10/26
135,财政部 国家税务总局关于储蓄存款利息所得有关个人所得税政策的通知,财税〔2008〕132号,2008/10/9
136,国家税务总局关于做好对储蓄存款利息所得暂免征收个人所得税工作的通知,国税函〔2008〕826号,2008/10/9
137,国家税务总局关于个人通过网络买卖虚拟货币取得收入征收个人所得税问题的批复,国税函〔2008〕818号,2008/9/28
138,国家税务总局关于离退休人员取得单位发放离退休工资以外奖金补贴征收个人所得税的批复,国税函〔2008〕723号,2008/8/7
139,财政部 海关总署 国家税务总局关于支持汶川地震灾后恢复重建有关税收政策问题的通知,财税〔2008〕104号,2008/8/1
140,财政部 国家税务总局关于高级专家延长离休退休期间取得工资薪金所得有关个人所得税问题的通知,财税〔2008〕7号,2008/7/1
141,国家税务总局关于个人与房地产开发企业签订有条件优惠价格协议购买商店征收个人所得税问题的批复,国税函〔2008〕576号,2008/6/15
142,财政部 国家税务总局关于企业为个人购买房屋或其他财产征收个人所得税问题的批复,财税〔2008〕83号,2008/6/10
143,财政部 国家税务总局关于调整个体工商户个人独资企业和合伙企业个人所得税税前扣除标准有关问题的通知,财税〔2008〕65号,2008/6/3
144,国家税务总局关于中国共产党党员交纳抗震救灾“特殊党费”在个人所得税前扣除问题的通知,国税发〔2008〕60号,2008/5/30
145,国家税务总局关于个人向地震灾区捐赠有关个人所得税征管问题的通知,国税发〔2008〕55号,2008/5/21
146,财政部 国家税务总局关于认真落实抗震救灾及灾后重建税收政策问题的通知,财税〔2008〕62号,2008/5/19
147,国家税务总局 关于个人所得税代扣代缴软件技术支持服务有关问题的通告,国家税务总局通告2008年第1号,2008/3/14
148,财政部 国家税务总局 关于生育津贴和生育医疗费有关个人所得税政策的通知,财税〔2008〕8号,2008/3/7
149,财政部 国家税务总局 关于廉租住房经济适用住房和住房租赁有关税收政策的通知,财税〔2008〕24号,2008/3/3
150,国家税务总局关于个人所得税工资薪金所得减除费用标准政策衔接问题的通知,国税发〔2008〕20号,2008/2/20
151,国家税务总局关于个人取得房屋拍卖收入征收个人所得税问题的批复,国税函〔2007〕1145号,2007/11/20
152,国家税务总局关于修改年所得12万元以上个人自行纳税申报表的通知,国税函〔2007〕1087号,2007/11/2
153,国家税务总局关于中央企业负责人年度绩效薪金延期兑现收入和任期奖励征收个人所得税问题的通知,国税发〔2007〕118号,2007/10/29
154,财政部 国家税务总局关于企业向个人支付不竞争款项征收个人所得税问题的批复,财税〔2007〕102号,2007/9/12
155,国家税务总局关于进一步推进个人所得税全员全额扣缴申报管理工作的通知,国税发〔2007〕97号,2007/8/14
156,国家税务总局关于外籍个人和港澳台居民个人储蓄存款利息所得适用协定税率有关问题的补充通知,国税函〔2007〕872号,2007/8/7
157,国家税务总局关于取消促进科技成果转化暂不征收个人所得税审核权有关问题的通知,国税函〔2007〕833号,2007/8/1
158,国家税务总局 中国人民银行 中国银监会关于储蓄存款利息所得个人所得税税率调整后扣缴报告表有关问题的通知,国税发〔2007〕89号,2007/7/30
159,国务院关于修改《对储蓄存款利息所得征收个人所得税的实施办法》的决定,中华人民共和国国务院令第502号发布,2007/7/20
160,财政部 国家税务总局关于《建立亚洲开发银行协定》有关个人所得税问题的补充通知,财税〔2007〕93号,2007/6/25
161,财政部 国家税务总局关于促进残疾人就业税收优惠政策的通知,财税〔2007〕92号,2007/6/15
162,国家税务总局关于加强和规范个人取得拍卖收入征收个人所得税有关问题的通知,国税发〔2007〕38号,2007/4/4
163,财政部 国家税务总局关于个人取得有奖发票奖金征免个人所得税问题的通知,财税〔2007〕34号,2007/2/27
164,财政部 国家税务总局关于单位低价向职工售房有关个人所得税问题的通知,财税〔2007〕13号,2007/2/8
165,国家税务总局关于中国社会保障论坛获奖征文奖金征收个人所得税问题的函,国税函〔2006〕1241号,2006/12/22
166,国家税务总局关于明确年所得12万元以上自行纳税申报口径的通知,国税函〔2006〕1200号,2006/12/15
167,国家税务总局关于印发《个人所得税自行纳税申报办法（试行）》的通知,国税发〔2006〕162号,2006/11/6
168,国家税务总局关于做好受理年所得12万元以上纳税人自行纳税申报工作的通知,国税发〔2006〕164号,2006/11/6
169,财政部 国家税务总局关于企业支付学生实习报酬有关所得税政策问题的通知,财税〔2006〕107号,2006/11/1
170,国家税务总局关于在地方税务局征管软件中增设个人所得税房屋转让所得项目的补充通知,国税函〔2006〕893号,2006/9/30
171,国家税务总局关于个人股票期权所得缴纳个人所得税有关问题的补充通知,国税函〔2006〕902号,2006/9/30
172,国家税务总局关于个人股权转让过程中取得违约金收入征收个人所得税问题的批复,国税函〔2006〕866号,2006/9/19
173,国家税务总局关于个人住房转让所得征收个人所得税有关问题的通知,国税发〔2006〕108号,2006/7/18
174,财政部 国家税务总局关于基本养老保险费基本医疗保险费失业保险费 住房公积金有关个人所得税政策的通知,财税〔2006〕10号,2006/6/27
175,国家税务总局关于陈嘉庚科学奖获奖个人取得的奖金收入免征个人所得税的通知,国税函〔2006〕561号,2006/6/9
176,国家税务总局关于离退休人员再任职界定问题的批复,国税函〔2006〕526号,2006/6/5
177,国家税务总局关于酒店产权式经营业主税收问题的批复,国税函〔2006〕478号,2006/5/22
178,国家税务总局关于保险营销员取得佣金收入征免个人所得税问题的通知,国税函〔2006〕454号,2006/5/15
179,国家税务总局关于个人因公务用车制度改革取得补贴收入征收个人所得税问题的通知,国税函〔2006〕245号,2006/3/6
180,国家税务总局 国家邮政局关于开具寄送个人所得税完税证明有关问题的通知,国税发〔2006〕30号,2006/2/20
181,财政部 国家税务总局关于行政机关和事业单位做好个人所得税代扣代缴工作的通知,财税〔2006〕9号,2006/1/24
182,财政部 国家税务总局关于下岗失业人员再就业有关税收政策问题的通知,财税〔2005〕186号,2006/1/23
183,国家税务总局关于加强外籍人员个人所得税档案资料管理的通知,国税函〔2006〕58号,2006/1/23
184,劳动保障部 发展改革委 教育部 监察部 民政部 财政部 建设部 农业部 商务部 人民银行 国资委 国家税务总局 工商总局 统计局 中央编办 全国总工会 共青团中央 全国妇联关于贯彻落实国务院进一步加强就业再就业工作通知若干问题的意见,劳社部发〔2006〕6号,2006/1/20
185,国家税务总局关于个人独资企业变更为个体经营户是否享受个人所得税再就业优惠政策的批复,国税函〔2006〕39号,2006/1/13
186,财政部 国家税务总局关于2010年上海世博会有关税收政策问题的通知,财税〔2005〕180号,2005/12/31
187,国家税务总局关于印发《个人所得税全员全额扣缴申报管理暂行办法》的通知,国税发〔2005〕205号,2005/12/23
188,国家税务总局 中国人民银行 教育部 关于《教育储蓄存款利息所得免征个人所得税实施办法》有关问题的补充通知,国税发〔2005〕155号,2005/9/30
189,国家税务总局 中国人民银行 教育部 关于印发《教育储蓄存款利息所得免征个人所得税实施办法》的通知,国税发〔2005〕148号,2005/9/14
190,国家税务总局关于纳税人取得不含税全年一次性奖金收入计征个人所得税问题的批复,国税函〔2005〕715号,2005/7/7
191,国家税务总局关于印发《个人所得税管理办法》的通知,国税发〔2005〕120号,2005/7/6
192,国家税务总局关于个人因购买和处置债权取得所得征收个人所得税问题的批复,国税函〔2005〕655号,2005/6/24
193,财政部 国家税务总局 中国人民银行关于股息红利个人所得税退库的补充通知,财库〔2005〕187号,2005/6/24
194,财政部 国家税务总局关于股权分置试点改革有关税收政策问题的通知,财税〔2005〕103号,2005/6/13
195,财政部 国家税务总局关于个人所得税有关问题的批复,财税〔2005〕94号,2005/6/2
196,国家税务总局关于个人兼职和退休人员再任职取得收入如何计算征收个人所得税问题的批复,国税函〔2005〕382号,2005/4/26
197,国家税务总局关于企业为股东个人购买汽车征收个人所得税的批复,国税函〔2005〕364号,2005/4/22
198,财政部 国家税务总局关于个人股票期权所得征收个人所得税问题的通知,财税〔2005〕35号,2005/3/28
199,财政部 国家税务总局关于城镇房屋拆迁有关税收政策的通知,财税〔2005〕45号,2005/3/22
200,国家税务总局 国家外汇管理局关于个人财产对外转移提交税收证明或者完税凭证有关问题的通知,国税发〔2005〕13号,2005/1/31
201,国家税务总局关于纳税人收回转让的股权征收个人所得税问题的批复,国税函〔2005〕130号,2005/1/28
202,国家税务总局关于调整个人取得全年一次性奖金等计算征收个人所得税方法问题的通知,国税发〔2005〕9号,2005/1/21
203,国家税务总局关于第四届孙平化日本学学术奖励基金获奖奖金收入免征个人所得税的通知,国税函〔2004〕917号,2004/7/23
204,国家税务总局关于取消合伙企业投资者变更个人所得税汇算清缴地点审批后加强后续管理问题的通知,国税发〔2004〕81号,2004/6/29
205,国家税务总局关于国际组织驻华机构外国政府驻华使领馆和驻华新闻机构雇员个人所得税征收方式的通知,国税函〔2004〕808号,2004/6/23
206,财政部 国家税务总局关于严格执行个人所得税费用扣除标准和不征税项目的通知,财税〔2004〕40号,2004/2/6
207,财政部 国家税务总局关于外籍个人取得港澳地区住房等补贴征免个人所得税的通知,财税〔2004〕29号,2004/1/29
208,财政部 国家税务总局关于企业以免费旅游方式提供对营销人员个人奖励有关个人所得税政策的通知,财税〔2004〕11号,2004/1/20
209,国家税务总局关于进一步落实税收优惠政策、促进农民增加收入的通知,国税发〔2004〕13号,2004/1/20
210,财政部 国家税务总局关于农村税费改革试点地区有关个人所得税问题的通知,财税〔2004〕30号,2004/1/17
211,国家税务总局 中国人民银行关于个人银行结算账户利息所得征收个人所得税问题的通知,国税发〔2004〕6号,2004/1/12
212,国家税务总局关于个体工商户销售农产品有关税收政策问题的通知,国税发〔2003〕149号,2003/12/23
213,国家税务总局关于个人取得“母亲河（波司登）奖”奖金所得免征个人所得税问题的批复,国税函〔2003〕961号,2003/8/18
214,财政部 国家税务总局关于农村税费改革试点地区个人取得农业特产所得征免个人所得税问题的通知,财税〔2003〕157号,2003/7/11
215,财政部 国家税务总局关于规范个人投资者个人所得税征收管理的通知,财税〔2003〕158号,2003/7/11
216,国家税务总局关于提高增值税和营业税起征点后加强个人所得税征收管理工作的通知,国税发〔2003〕80号,2003/7/1
217,国家税务总局关于加强企业债券利息个人所得税代扣代缴工作的通知,国税函〔2003〕612号,2003/6/6
218,财政部 国家税务总局关于医疗机构有关个人所得税政策问题的通知,财税〔2003〕109号,2003/5/13
219,财政部 国家税务总局关于自主择业的军队转业干部有关税收政策问题的通知,财税〔2003〕26号,2003/4/9
220,国家税务总局关于中国海洋石油总公司系统深化用工薪酬制度改革有关个人所得税问题的通知,国税函〔2003〕330号,2003/3/26
221,国家税务总局关于转租浅海滩涂使用权收入征收个人所得税问题的批复,国税函〔2002〕1158号,2002/12/30
222,国家税务总局关于个人独资企业个人所得税税前固定资产折旧费扣除问题的批复,国税函〔2002〕1090号,2002/12/18
223,国家税务总局关于强化律师事务所等中介机构投资者个人所得税查账征收的通知,国税发〔2002〕123号,2002/9/29
224,财政部 国家税务总局关于开放式证券投资基金有关税收问题的通知,财税〔2002〕128号,2002/8/22
225,国家税务总局关于个人所得税若干政策问题的批复,国税函〔2002〕629号,2002/7/12
226,国家税务总局关于剧本使用费征收个人所得税问题的通知,国税发〔2002〕52号,2002/5/9
227,国家税务总局关于个人所得税若干业务问题的批复,国税函〔2002〕146号,2002/2/9
228,国家税务总局 中国人民银行关于修改储蓄存款利息所得个人所得税扣缴报告表和汇总报表的通知,国税发〔2002〕7号,2002/1/15
229,国家税务总局关于联想集团改制员工取得的用于购买企业国有股权的劳动分红征收个人所得税问题的批复,国税函〔2001〕832号,2001/11/9
230,财政部 国家税务总局关于个人与用人单位解除劳动关系取得的一次性补偿收入征免个人所得税问题的通知,财税〔2001〕157号,2001/9/10
231,国家税务总局关于外籍个人取得的探亲费免征个人所得税有关执行标准问题的通知,国税函〔2001〕336号,2001/5/14
232,国家税务总局关于代扣代缴储蓄存款利息所得个人所得税手续费收入征免税问题的通知,国税发〔2001〕31号,2001/3/16
233,国家税务总局关于行政机关、事业单位工资发放方式改革后扣缴个人所得税问题的通知,国税发〔2001〕19号,2001/2/21
234,国家税务总局关于《关于个人独资企业和合伙企业投资者征收个人所得税的规定》执行口径的通知,国税函〔2001〕84号,2001/1/17
235,财政部 国家税务总局关于调整住房租赁市场税收政策的通知,财税〔2000〕125号,2000/12/7
